Date,BLV,BSV,VCLT,VCSH,VGSH
3/27/2014,0.004252777,0.000125534,0.001717682,0.000750705,-0.000657716
3/28/2014,-0.003102171,-0.00049992,-0.003209456,-0.000375573,0.000164713
3/31/2014,-0.001958063,0.000874569,0.001720492,0.001126189,0.000163914
04/01/2014,-0.004093643,0.000175142,-0.006474463,-0.000652092,-0.000262724
04/02/2014,-0.004776213,-0.001000558,-0.000347812,-0.000625865,-0.00065783
04/03/2014,0.002798412,0.000249928,0.002198157,0.000124643,0.000328895
04/04/2014,0.004067434,0.001000526,0.00759957,0.002379602,0.001150779
04/07/2014,0.005781625,0.000374451,0.001261284,0.000875236,0.000492298
04/08/2014,0.00287859,0.000625075,0.003887066,0.000873769,-0.000164017
04/09/2014,-0.002071463,0.001246877,-0.002055661,0.000998415,0.000492614
04/10/2014,0.004252934,0.000622805,0.006723565,0.00112255,0.000328066
04/11/2014,0.006061295,0.000124625,0.003741301,-0.000373612,-0.000164056
4/14/2014,0.000571108,-0.000872032,0.003614625,-0.000374468,0
4/15/2014,0.003525971,0,0.001802522,-0.000374471,0.000164056
4/16/2014,0.001588372,-0.000249265,0.001461695,-0.000623677,-0.000656663
4/17/2014,-0.006825384,-0.00112344,-0.007218855,-0.000374738,0.000328597
4/21/2014,-0.000114532,0,0.000453103,-0.000873769,-0.000328597
4/22/2014,0.001825574,-0.000124455,0.002712114,0.000749761,-0.000492298
4/23/2014,0.003753131,0.000124455,0.003491955,0.000250106,0.000164365
4/24/2014,0.002041457,0.000124787,0.00224621,0.00024864,0.000163915
4/25/2014,0.001471767,0.000624763,0.00168163,0.00012512,0.000164017
4/28/2014,-0.003967042,-0.000125478,-0.00415307,-0.000249906,0
4/29/2014,0,0,-0.00157554,0.000249906,0.000164413
4/30/2014,0.004984955,0.000748633,0.004496067,0.000749068,0.000164184
05/01/2014,0.00565428,0.000474239,0.006662575,0.000848449,9.85E-05
05/02/2014,0.006406569,0,0.006130861,0,0.000164416
05/05/2014,-0.004716903,-0.000124674,-0.006018442,0.000124555,0.000163893
05/06/2014,0.00359586,0,0.004461341,0.00012489,-0.000328309
05/07/2014,-0.001683339,0.000623215,-0.001446891,0.000623483,-0.000164241
05/08/2014,-0.002024537,0.000747896,-0.00301445,0.000623095,0.000984803
05/09/2014,-0.003609177,-0.000249053,-0.002910867,-0.000747785,-0.000163959
05/12/2014,-0.004303239,-0.000249564,-0.004269229,0.000374145,0
5/13/2014,0.004754396,0.00087263,0.004493658,0.000747384,0
5/14/2014,0.011119268,0.000870858,0.011035908,0.00174205,0.000327598
5/15/2014,0.003456447,0.000498067,0.001440338,-0.000372622,0.000656104
5/16/2014,-0.001781771,-0.00037327,0.00077493,0.000745698,-0.000164467
5/19/2014,-0.004582767,0.00037327,-0.005546921,0.000248089,0.000164467
5/20/2014,0.00011206,0.00062161,-0.000444809,0.000248967,0.000490746
5/21/2014,-0.00392788,-0.000248566,-0.004573008,-0.000124589,-0.000163048
5/22/2014,-0.001575247,-0.000248527,-0.002798678,-0.000124378,-0.000164248
5/23/2014,0.003933803,-0.000124518,0.001791753,0.000248967,0.000327296
5/27/2014,0.004476483,0.000373044,0.005691413,-0.000124589,-0.000327296
5/28/2014,0.008784608,0.000869574,0.010625561,0.0009936,0.000327296
5/29/2014,-0.002105488,-0.000247762,-0.003529598,-0.000123436,0
5/30/2014,-0.001443014,-0.000373245,-0.000110264,-0.000870164,-0.000818497
06/02/2014,-0.006083519,-0.000858644,-0.005035612,-0.00134427,-0.000328133
06/03/2014,-0.007882649,-0.000747768,-0.009068375,-0.001247014,0
06/04/2014,-0.001471024,0.000249467,-0.000562355,0.000124806,0.000164034
06/05/2014,0.001018478,0.000373738,0.002247365,0.000623509,0.000163677
06/06/2014,0.0022598,-0.000498247,0.000561333,0.000622878,-0.000819883
06/09/2014,-0.001242246,-0.000623733,-0.000785151,-0.00186948,0.00016406
06/10/2014,-0.001583686,-0.000623254,-0.002923736,0.000873099,-0.000820973
06/11/2014,0,0.000249849,-0.001804372,0.000249017,0.000164517
06/12/2014,0.00631802,0.00062343,0.007307656,0.000124485,0.000820342
6/13/2014,0.000561959,-0.00062343,-0.000560023,-0.000124485,-0.000492235
6/16/2014,0.001235688,-0.000375296,0.001119844,-0.001122116,-0.000328107
6/17/2014,-0.005741287,-0.000748697,-0.004375566,-0.000250103,-0.000493135
6/18/2014,0.00551736,0.000874144,0.005717614,0.001496705,0.000657055
6/19/2014,-0.005968809,0.000373932,-0.005605568,-0.000249457,0
6/20/2014,0.001354044,-0.000373932,0.002470001,0,-0.000328437
6/23/2014,-0.001579652,-0.000250143,0.000224859,-0.000124045,0.000164517
6/24/2014,0.007652443,0.000624075,0.00670493,0,-0.000164517
6/25/2014,0.002240315,0.000499347,0.003446621,0.000996381,0.000492624
