Date,JPM,XOM,PG,D,VZ,EQR,NEM,AAPL,BA,JNJ,NKE
10/9/2013,0.015206998,-0.002501976,-0.002690833,0.006699364,0.012123725,0.003867938,-0.039615575,-0.023042457,0.009101149,0.011016865,0.021480355
11/9/2013,-0.007668576,0.011547498,0.004097233,0.003417941,0.001075374,0.009331086,0.008864306,-0.05598141,0.009751631,0.007875958,0.011457712
12/9/2013,-0.019336782,-0.00972747,-0.000127779,0.019766031,0.017684382,-0.003465859,-0.042648078,0.010591159,0.005204652,-0.002468703,0.007223419
13/09/2013,0.0066772,0.004762487,0.010043816,0.0247823,0.008621894,-0.002379164,-0.001063311,-0.016617455,0.013838508,-0.004955547,-0.002500349
16/09/2013,0.010403878,0.003049696,0.01394398,-0.002778146,0.011242945,0.004022319,-0.002485422,-0.032308113,0.038242493,0.005180049,0.004115112
17/09/2013,-0.000941181,0.003040424,-0.00412519,0.010418477,0.00557457,-0.004755031,0.013769111,0.011486065,0.012372263,0.000337042,0.00190409
18/09/2013,0.006009175,0.007170113,0.005870447,0.026212222,0.003083504,0.034946078,0.079179303,0.020348722,0.010955089,0.009498886,0.01683665
19/09/2013,-0.012434043,-0.003354002,-0.002244381,-0.002843715,-0.004319748,0.003914252,-0.035947714,0.016265404,0.005390803,0.001778046,0.000287515
20/09/2013,0.000947443,-0.006969255,-0.009153019,-0.014982886,-0.0151628,-0.003735929,-0.05913581,-0.010407309,-0.020453099,-0.004339755,-0.001872147
23/09/2013,-0.025706231,-0.010316917,-0.001386412,0.005924251,0.004177238,-0.0165354,-0.006791888,0.048503683,0.007516927,-0.00660048,-0.005637851
24/09/2013,-0.022402218,-0.004454166,-0.008360257,-0.003037392,-0.014908161,-0.016260754,0.004294897,-0.00314385,0.012600141,-0.009813131,0.006502632
25/09/2013,0.027055095,-0.002521476,-0.011513303,-0.000480565,-0.006793038,0.004961183,0.011010602,-0.015598639,-0.004126213,-0.013006614,-0.007372639
26/09/2013,0.003668291,-0.000803789,0.00423732,0.006228523,0.015218913,0.002014202,-0.004957608,0.009692686,0.007314227,-0.000114914,0.020394313
27/09/2013,0.006722591,-0.001954451,-0.010820844,-0.00606824,-0.014154058,-0.002197677,-0.00676748,-0.00716177,-0.005375399,-0.003912537,0.045847407
30/09/2013,-0.010583989,-0.009945941,-0.021204903,0.000800452,-0.007046373,-0.018127953,0.00427971,-0.0125071,-0.010497842,-0.000461307,-0.013672298
1/10/2013,0.005209309,-0.0004646,0.007512267,0.000480011,0.006833017,0.013718887,-0.032185085,0.023241398,0.002125389,0.008957236,-0.003033375
2/10/2013,0.009839121,0.000929616,-0.003024698,-0.002723314,-0.004265367,-0.004243965,0.011691972,0.003273338,0.000763918,-0.002059649,-0.007345292
3/10/2013,-0.002883719,-0.00676086,-0.00118554,-0.006114224,0.004691129,-0.022817653,-0.020922108,-0.012641685,-0.02231059,-0.008167046,-0.003483776
